time,values
2752,-0.6327496738
2753,-0.6332178731
2754,-0.6336860724
2755,-0.6341456013
2756,-0.6346138006
2757,-0.6350819999
2758,-0.6355415288
2759,-0.6360097281
2760,-0.6364779274
2761,-0.6369461267
2762,-0.6374056557
2763,-0.637873855
2764,-0.6383420543
2765,-0.6388102536
2766,-0.6392697825
2767,-0.6397379818
2768,-0.6402061811
2769,-0.64066571
2770,-0.6411339093
2771,-0.6416021086
2772,-0.6420616376
2773,-0.6425298369
2774,-0.6429980362
2775,-0.6434575651
2776,-0.6439257644
2777,-0.6443939637
2778,-0.6448534926
2779,-0.6453216919
2780,-0.6457898912
2781,-0.6462494202
2782,-0.6467176195
2783,-0.6471858188
2784,-0.6476453477
2785,-0.648113547
2786,-0.6485817463
2787,-0.6490412752
2788,-0.6495094745
2789,-0.6499776738
2790,-0.6504372028
2791,-0.6509054021
2792,-0.6513736014
2793,-0.6518331303
2794,-0.6523013296
2795,-0.6527695289
2796,-0.6532290578
2797,-0.6536972571
2798,-0.6541567861
2799,-0.6546249854
2800,-0.6550931847
2801,-0.6555527136
2802,-0.6560209129
2803,-0.6564891122
2804,-0.6569486411
2805,-0.6574168404
2806,-0.6578850397
2807,-0.6583445687
2808,-0.658812768
2809,-0.6592809673
2810,-0.6597404962
2811,-0.6602086955
2812,-0.6606768948
2813,-0.6611364237
2814,-0.661604623
2815,-0.662064152
2816,-0.6625323513
2817,-0.6630005506
2818,-0.6634600795
2819,-0.6639282788
2820,-0.6643878077
2821,-0.664856007
2822,-0.665315536
2823,-0.6657837353
2824,-0.6662519346
2825,-0.6667114635
2826,-0.6671796628
2827,-0.6676391917
2828,-0.668107391
2829,-0.6685755903
2830,-0.6690437896
2831,-0.6695033186
2832,-0.6699715179
2833,-0.6704397172
2834,-0.6709079165
2835,-0.6713761158
2836,-0.6718356447
2837,-0.672303844
2838,-0.6727720433
2839,-0.6732315722
2840,-0.6736997715
2841,-0.6741679708
2842,-0.6746274998
2843,-0.6750956991
2844,-0.6755638984
2845,-0.6760234273
2846,-0.6764916266
2847,-0.6766130116
2848,-0.6753991616
2849,-0.6742286633
2850,-0.6730494947
2851,-0.6718789965
2852,-0.6707084983
2853,-0.6695293297
2854,-0.6683588314
2855,-0.6671796628
2856,-0.6660091646
2857,-0.664829996
2858,-0.6636508274
2859,-0.6624716588
2860,-0.6612924902
2861,-0.6601219919
2862,-0.6589428233
2863,-0.6577636547
2864,-0.6565931565
2865,-0.6554226582
2866,-0.6542434896
2867,-0.6530729914
2868,-0.6519024932
2869,-0.6507319949
2870,-0.6495614967
2871,-0.6483823281
2872,-0.6472118298
2873,-0.6460413316
2874,-0.644862163
2875,-0.6436916648
2876,-0.6425124962
2877,-0.6413419979
2878,-0.6401714997
2879,-0.6389923311
2880,-0.6378218328
2881,-0.6366426642
2882,-0.635472166
2883,-0.6342929974
2884,-0.6331224991
2885,-0.6319433305
2886,-0.6307728323
2887,-0.6295936637
2888,-0.6284231655
2889,-0.6272526672
2890,-0.6260734986
